tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,2,16,5,110,4096,0.0,,,,,,,,,,,,,,,,,
1,2,16,5,110,4096,18.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,128,0.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,128,18.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,2,16,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,128,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,128,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,1024,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,1024,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,4096,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,110,4096,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,128,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,128,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,2,16,7,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,2,64,3,110,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,3,110,128,10.5,1.0,2670.2505937305846,1230.7837841820951,123.0,4.8946609658620694,-196000591.36049998,619073533.425897,-20452331.703473814,208821325.5017708,-196000483.29006547,619073533.1196159,-20452223.804073807,208821325.3591372,26.523809523809526,26.97142857142857,0.0,503.0
1,2,64,3,110,1024,0.0,,,,,,,,,,,,,,,,,
